"genre","year","count"
"Chansons françaises","1964","172"
"Poésie","1964","9"
"Théâtre","1964","15"
"Chansons françaises","1965","150"
"Littérature française","1965","3"
"Roman","1965","18"
"Théâtre","1965","7"
"Poésie","1965","4"
"Littérature","1965","2"
"Poésie","1966","3"
"Chansons françaises","1966","163"
"Littérature","1966","10"
"Roman","1966","38"
"Théâtre","1966","17"
"Littérature française","1966","1"
"Théâtre","1967","25"
"Littérature","1967","4"
"Chansons françaises","1967","118"
"Roman","1967","26"
"Poésie","1967","1"
"Littérature française","1967","9"
"Littérature","1968","7"
"Chansons françaises","1968","144"
"Poésie","1968","6"
"Théâtre","1968","26"
"Roman","1968","35"
"Littérature française","1968","8"
"Poésie","1969","12"
"Théâtre","1969","24"
"Littérature française","1969","12"
"Littérature","1969","13"
"Chansons françaises","1969","160"
"Roman","1969","16"
"Littérature","1970","7"
"Poésie","1970","5"
"Théâtre","1970","26"
"Chansons françaises","1970","106"
"Roman","1970","2"
"Littérature française","1970","12"
"Théâtre","1971","21"
"Roman","1971","6"
"Poésie","1971","10"
"Littérature","1971","5"
"Chansons françaises","1971","100"
"Littérature française","1971","11"
"Poésie","1972","11"
"Chansons françaises","1972","75"
"Roman","1972","10"
"Littérature","1972","9"
"Théâtre","1972","23"
"Littérature française","1972","4"
"Littérature","1973","9"
"Poésie","1973","12"
"Chansons françaises","1973","59"
"Littérature française","1973","9"
"Roman","1973","7"
"Théâtre","1973","14"
"Poésie","1974","16"
"Littérature","1974","5"
"Chansons françaises","1974","70"
"Roman","1974","4"
"Théâtre","1974","19"
"Littérature française","1974","8"
"Chansons françaises","1975","82"
"Littérature française","1975","7"
"Poésie","1975","8"
"Théâtre","1975","19"
"Roman","1975","9"
"Littérature","1975","7"
"Poésie","1976","8"
"Roman","1976","13"
"Littérature française","1976","9"
"Chansons françaises","1976","24"
"Théâtre","1976","28"
"Littérature","1976","3"
"Littérature française","1977","11"
"Théâtre","1977","25"
"Littérature","1977","14"
"Poésie","1977","11"
"Chansons françaises","1977","34"
"Roman","1977","9"
"Poésie","1978","27"
"Littérature française","1978","7"
"Chansons françaises","1978","22"
"Théâtre","1978","48"
"Littérature","1978","20"
"Roman","1978","19"
"Littérature","1979","21"
